[Sun Mar 28 16:57:50.716435 2021] [authn_file:error] [pid 16490] (2)No such file or directory: [client 110.138.91.150:63083] AH01620: Could not open password file: /etc/phpMyAdmin/.htpasswd
[Sun Mar 28 16:59:32.918860 2021] [authn_file:error] [pid 16744] (2)No such file or directory: [client 110.138.91.150:51649] AH01620: Could not open password file: /etc/phpMyAdmin/.htpasswd
[Sun Mar 28 16:59:39.458749 2021] [authn_file:error] [pid 16747] (2)No such file or directory: [client 110.138.91.150:50973] AH01620: Could not open password file: /etc/phpMyAdmin/.htpasswd
[Sun Mar 28 17:13:13.289951 2021] [authn_file:error] [pid 16762] (2)No such file or directory: [client 110.138.91.150:55574] AH01620: Could not open password file: /etc/phpMyAdmin/.htpasswd
[Thu Apr 01 00:36:31.083700 2021] [php7:error] [pid 6234] [client 140.213.54.42:11398] script '/var/www/html/visit.id/bit/ajax.php' not found or unable to stat, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:37:11.055415 2021] [php7:error] [pid 3821] [client 140.213.54.42:22812] script '/var/www/html/visit.id/bit/ajax.php' not found or unable to stat, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:05.274146 2021] [php7:warn] [pid 13859] [client 140.213.54.42:22534] PHP Warning:  file_get_contents(/var/www/html/visit.id/bit/data/20210331.txt): failed to open stream: No such file or directory in /var/www/html/visit.id/bit/ajax.php on line 6, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:05.274174 2021] [php7:notice] [pid 13859] [client 140.213.54.42:22534] PHP Notice:  Undefined offset: 2 in /var/www/html/visit.id/bit/ajax.php on line 11, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:06.665894 2021] [php7:warn] [pid 6233] [client 140.213.54.42:30179] PHP Warning:  file_get_contents(/var/www/html/visit.id/bit/data/20210331.txt): failed to open stream: No such file or directory in /var/www/html/visit.id/bit/ajax.php on line 6, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:06.665933 2021] [php7:notice] [pid 6233] [client 140.213.54.42:30179] PHP Notice:  Undefined offset: 2 in /var/www/html/visit.id/bit/ajax.php on line 11, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:07.865626 2021] [php7:warn] [pid 6233] [client 140.213.54.42:30179] PHP Warning:  file_get_contents(/var/www/html/visit.id/bit/data/20210331.txt): failed to open stream: No such file or directory in /var/www/html/visit.id/bit/ajax.php on line 6, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:07.865660 2021] [php7:notice] [pid 6233] [client 140.213.54.42:30179] PHP Notice:  Undefined offset: 2 in /var/www/html/visit.id/bit/ajax.php on line 11, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:09.069317 2021] [php7:warn] [pid 6233] [client 140.213.54.42:30179] PHP Warning:  file_get_contents(/var/www/html/visit.id/bit/data/20210331.txt): failed to open stream: No such file or directory in /var/www/html/visit.id/bit/ajax.php on line 6, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:09.069353 2021] [php7:notice] [pid 6233] [client 140.213.54.42:30179] PHP Notice:  Undefined offset: 2 in /var/www/html/visit.id/bit/ajax.php on line 11, referer: http://radmed.web.id/bit/
[Thu Apr 01 00:44:10.270645 2021] [php7:warn] [pid 6233] [client 140.213.54.42:30179] PHP Warning:  file_get_contents(/var/www/html/visit.id/bit/data/20210331.txt): failed to open stream: No such file or directory in /var/www/html/visit.id/bit/ajax.php on line 6, referer: http://radmed.web.id/bit/
